PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK
1630639,A.J. Lawson,A.J.,1610612742,DAL,23.0,36,23,13,0.639,7.0,1.3,2.7,0.48,0.4,1.2,0.31,0.4,0.6,0.619,0.3,0.7,1.0,0.4,0.3,0.3,0.1,0.2,0.6,0.3,3.3,0.9,5.9,0,0,5.8,343,247,392,113,472,406,424,189,373,375,355,416,397,444,411,487,478,492,462,408,452,409,480,452,415,179,465,239,32,462
1631260,AJ Green,AJ,1610612749,MIL,24.0,50,33,17,0.66,10.2,1.5,3.4,0.427,1.2,2.9,0.408,0.3,0.3,0.938,0.2,1.0,1.1,0.5,0.2,0.1,0.1,0.1,0.9,0.3,4.4,0.6,7.0,0,0,7.6,259,143,337,90,419,387,377,375,178,216,71,439,458,38,497,452,468,454,512,488,478,495,433,461,356,205,439,239,32,414
1631100,AJ Griffin,AJ,1610612737,ATL,20.0,18,8,10,0.444,7.4,0.7,2.5,0.289,0.5,1.8,0.273,0.1,0.1,1.0,0.1,0.7,0.8,0.2,0.3,0.1,0.1,0.1,0.3,0.1,2.1,-1.6,3.3,0,0,3.8,434,410,423,357,468,484,433,531,332,309,408,496,508,1,513,487,508,524,437,515,481,455,515,529,478,392,512,239,32,501
203932,Aaron Gordon,Aaron,1610612743,DEN,28.0,68,46,22,0.676,31.5,5.5,9.9,0.551,0.5,1.9,0.289,2.3,3.6,0.653,2.4,4.1,6.5,3.4,1.5,0.8,0.6,0.8,1.9,3.0,13.8,5.5,29.3,12,0,27.0,82,29,253,72,83,96,126,80,322,300,388,91,60,426,30,92,58,106,120,177,114,65,167,61,107,27,94,51,32,106
1628988,Aaron Holiday,Aaron,1610612745,HOU,27.0,71,37,34,0.521,16.5,2.4,5.4,0.445,1.1,2.8,0.392,0.8,0.8,0.915,0.3,1.4,1.6,1.8,0.7,0.5,0.1,0.2,1.5,0.9,6.6,1.2,12.6,0,0,12.5,42,99,91,288,304,275,267,303,203,226,115,282,333,48,439,389,405,209,299,275,450,343,256,303,265,158,315,239,32,305
1630174,Aaron Nesmith,Aaron,1610612754,IND,24.0,65,36,29,0.554,27.7,4.4,8.9,0.491,2.0,4.8,0.43,1.4,1.9,0.754,0.9,2.9,3.8,1.5,0.9,0.9,0.7,0.8,3.3,2.0,12.2,1.8,23.1,1,0,22.8,126,110,139,245,134,146,145,159,75,104,36,162,163,293,202,186,193,244,234,103,81,83,4,131,136,126,163,173,32,149
1630598,Aaron Wiggins,Aaron,1610612760,OKC,25.0,70,50,20,0.714,14.8,2.5,4.3,0.577,0.8,1.6,0.495,0.6,0.8,0.764,0.8,1.5,2.3,0.9,0.7,0.6,0.2,0.3,1.1,0.7,6.3,0.9,12.3,0,0,12.0,57,15,288,42,326,269,319,66,265,336,20,333,341,274,231,353,325,369,302,252,313,256,386,360,276,184,325,239,32,313
1641745,Adam Flagler,Adam,1610612760,OKC,24.0,1,1,0,1.0,5.5,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0,0,1.0,555,516,554,1,493,548,404,548,479,208,479,516,520,516,530,543,552,347,537,518,502,512,544,532,549,250,547,239,32,550
1641766,Adama Sanogo,Adama,1610612741,CHI,22.0,4,1,3,0.25,2.9,1.0,1.0,1.0,0.0,0.0,0.0,0.5,0.8,0.667,0.8,1.0,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.5,2.5,5.3,4.4,0,0,4.3,523,516,507,460,541,440,529,1,479,526,479,360,350,404,236,431,395,544,470,518,502,512,544,405,456,29,494,239,32,491
1629678,Admiral Schofield,Admiral,1610612753,ORL,27.0,21,14,7,0.667,3.8,0.4,1.1,0.375,0.2,0.7,0.333,0.0,0.1,0.0,0.1,0.6,0.7,0.3,0.2,0.0,0.0,0.1,0.4,0.1,1.1,-0.9,2.3,0,0,2.4,418,342,451,77,522,526,520,472,409,427,296,516,511,516,517,499,514,513,500,517,502,428,509,505,525,333,533,239,32,528
201143,Al Horford,Al,1610612738,BOS,37.0,60,47,13,0.783,27.2,3.2,6.4,0.505,1.7,3.9,0.419,0.4,0.5,0.893,1.3,5.2,6.5,2.6,0.7,0.6,1.0,0.2,1.5,0.5,8.5,6.5,24.2,3,0,22.4,184,26,392,23,144,209,229,126,117,137,49,390,430,64,115,49,60,148,285,243,42,409,264,428,210,13,149,127,32,155
